skill_id,skill_name,invoke_name,Alexa_Answer,User_Response,label,
B07DWS8HTY,Word Game,"Alexa, play word game",sorry that's not right the right answer is spain your opponent answered correctly you both were not able to defeat each other you scored two out of five and your opponent hadley scored two out of five in this round to progress to the next level you need to answer three out of five correctly say stop or cancel to exsit any time are you ready to retry level one,stop,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",if you enjoy playing word game please give a raiting an alexa at good bye,Okay,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,welcome to escape the school please say start to begin,start,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,ames started your eyes slowly open your body feels tingly as you look around you're in a dark school class room all the lights are out you sluggishly get up and notice an unnerving chill down your spine you can say instructions like look left look at dor or use wrench on pipe you can also say inventory to look and see what you have what would you like to do,look around,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you look up the ceiling is a whitish gray color there is a vent on the ceiling what would you like to doo,check vent,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,the vet looks to be made of titania no air is coming out of it what would you like to do,use wrench,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you do not have wrench in your inventory what would you like to do,look elsewhere,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you look up the ceiling is a whitish gray color there is a vent on the ceiling what would you like to do,climb chair,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you look ut the ceiling is a whitish gray color there is a vent on the ceiling what would you like to do,jump for vent,understood,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you have already started the game what would you like to do,continue game,does not work,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you have already started the game what would you like to do,quit game,does not work,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you have already started the game what would you like to do,start over,does not work,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,you have already started the game what would you like to do,save progress,does not work,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,ok tin ton ti ton tin to tino tin ton ti ton in tn tin ton ti ton ti o tin ton tin ton tin ton tn o tin tn tin on ti ton tin to what would you like to do,stop sound,,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,ok tim tu ti o ti tu tim tu im tu tim tu tim tu tim tu tim u tim tu tim to tim u tim to tim to tim tu tim tu i t tim to what would you like to do,stop sound,,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,ok tim to ti tog tim to tim ton tim ton tim ton tim ton ti ton ti tng tim o tim ton i ton tim ton im tog tim ton tim ton ti to tim tong what would you like to do,stop sound,,
B08PVTHNJ2,Escape the School,Alexa open Escape the School,listening timeout,No response,,
B08V573QY9,Hangman,Alexa open hang man.,welcome to the word game of hangman the word contains nine letters you have ten attempts left please say a letter,E,understood,
B08V573QY9,Hangman,Alexa open hang man.,lettere are you sure,Yes,understood,
B08V573QY9,Hangman,Alexa open hang man.,your guess is right one occurrence is found in the word you have ten attempts left the word so far is six letters e two letters please say a letter,S,understood,
B08V573QY9,Hangman,Alexa open hang man.,please say a letter,T,understood,
B08V573QY9,Hangman,Alexa open hang man.,letter te are you sure,Yes,understood,
B08V573QY9,Hangman,Alexa open hang man.,sorry no letter t found in the word you have nine attempts left the word so far is six letters e two letters please say a letter,R,does not work,
B08V573QY9,Hangman,Alexa open hang man.,please say a letter,N,,
B08V573QY9,Hangman,Alexa open hang man.,give a hug lady bug thank you for using our skill please give us a five star rad good bye,Goodbye,,
B08V573QY9,Hangman,Alexa open hang man.,lator calculator,Later,,
B08V573QY9,Hangman,Alexa open hang man.,si i don't know they're wone,Don't know,,
B08V573QY9,Hangman,Alexa open hang man.,sa i don't know theyre one,Don't know,,
B08V573QY9,Hangman,Alexa open hang man.,o i don't know that,Don't know,,
B08V573QY9,Hangman,Alexa open hang man.,sorry i'm not sure,No response,,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",welcome back to l a times crosswork try saying print to day's cross work or print last sunday's answers,print today,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",sorry that cross word is not available yet please try again later what day's cross word would you like to print,print Sunday's answers,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",you want me to print to day's cross word you can also pick a different day,print different day,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",you want me to print to day's cross work you can also pick a different bit,different day,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",you want me to print to day's cross work you can also pick a different day,different day,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",do you want me to print to day's cross word you can also pick a different bit,different day,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",do you want me to print to day's cross work you can also pick a different day,different day,does not work,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",listening timeout,No response,,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",will start you with something easy what is five ninths plus seven nints,Twelve ninths.,,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",sin i'm having trouble accessing your math mania skilled right now,Try again.,does not work,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",sorry i don't have any answer for that,No problem.,does not work,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",i really appreciate that,You're welcome.,does not work,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",brin,Yes?,does not work,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play","tag info,loop time: 5","tag info: skill problem, skill stop",does not work,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",i will ask you ten questions try to get as many right as you can just say the answer good luck let's begin which star is at the center of our solar system,the Sun,misunderstood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is wrong the correct answer is son your score is zero which country is jucato the capital city of,Japan,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",ent to how many days on earth just say the number of days,225,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is correct your score is one which planet is known as the morning star or the evening star,Venus,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is correct your exporeis too which is the coldest planet in the solar system,Uranus,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is wrong the correct answer is neptune your score is two which planet has the shortest day,Jupiter,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is correct your score is three one year on mercury is equivalent to how many days on earth just say the number of days,88,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is correct your score is four which is warmer north pole or south pole,South pole,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",answer is wrong the correct answer is north pole your score is four how much time does sun rays take to reach earth please answer in minutes and seconds,8 minutes 20 seconds,understood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is wrong the correct answer is eight minutes and twenty seconds your score is four what occurred first the stone age or the bronze age,Stone age,misunderstood,
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge",that answer is wrong the correct answer is the stone age you dot four out of ten questions correct thank you for learning with my knowledge skill please come back again to further test your general knowledge with new questions,Thank you.,misunderstood,
B076GC2SS2,Totally Awesome Team Trivia,Alexa Play Totally Awesome Team Trivia,welcome to totally awesome team trivia how many teams are playing,7 teams,does not work,
B076GC2SS2,Totally Awesome Team Trivia,Alexa Play Totally Awesome Team Trivia,welcome to totally awesome team trivial how many teams are playing,7 teams,does not work,
B076GC2SS2,Totally Awesome Team Trivia,Alexa Play Totally Awesome Team Trivia,listening timeout,No response,does not work,
B07DW6X3XV,Lucky Dice,Alexa launch lucky dice,sorry i'm having trouble access an your lucky die spilled right now,No problem.,does not work,
B07DW6X3XV,Lucky Dice,Alexa launch lucky dice,"tag info,loop time: 1","tag info: skill problem, skill stop",,
B01FYMWWQS,Alfa Bravo Charlie,Alexa ask Alfa Bravo Charlie to start a game,welcome back to alphabravo charley the game that tests your knowledge of the phonetic alphabet used by mato and aviation professionals around the world we're starting from a previously saved game please let me know if you want to start over instead for four hundred points tell me the phonetic alphabet word for the letter you,Yankee,,
B01FYMWWQS,Alfa Bravo Charlie,Alexa ask Alfa Bravo Charlie to start a game,i'm sorry but yankee is not the correct answer you can try again for one hundred points or say skip if you want to try a new letter tell me the phonetic alphabet word for the letter here,X-ray,stopped working ,
B01FYMWWQS,Alfa Bravo Charlie,Alexa ask Alfa Bravo Charlie to start a game,listening timeout,No response,stopped working ,
B0779F5ZDN,Guess The Price,Alexa open Guess The price,welcome to guess the price how many persons are playing to dayo,1 person.,does not work,
B0779F5ZDN,Guess The Price,Alexa open Guess The price,ra please tell us your name,Ra.,does not work,
B0779F5ZDN,Guess The Price,Alexa open Guess The price,we didn't get you correctly please tell us your name again,Ra.,does not work,
B0779F5ZDN,Guess The Price,Alexa open Guess The price,we didn't get you correctly please tell us your name again,Ra.,does not work,
B0779F5ZDN,Guess The Price,Alexa open Guess The price,listening timeout,No response,does not work,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",welcome to the harry potter house guessing gang you can ask to start a quiz with starter quitz,"Sure, let's start.",understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",ok i will ask you for the hogbord's house of ten characters here is your first question what is the house of myrtle warren,Ravenclaw,understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",hurrah the house of myrtle warn is raven clock your current score is one out of one here is your second question what is the house of flora carroll,Gryffindor,understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",rom boy the house of flora carrol is slithering your current score is one out of two here is your third question what is the house of kenneth towler,Hufflepuff,understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",oh dear the house of kenneth towler is griffinbol your current score is one out of three here is your fourth question what is the house of hestia carroll,Ravenclaw,understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",yikes the house of hestia carroll is slithering your current score is one out of four here is your fifth question what is the house of hengast of woodcroft,Ravenclaw,understood,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",the house of hangest of woodcroft is huffled uf your current scores one out of five here is your sixth question what is the house of dean thomas  this is a reminder third lon event p m to morrow resuming harry das quiz the house of dasto woodcroft is huffled uff your current scores one out of five here is your sixth question what is the house of dean thomasiis,Gryffindor,stopped working ,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",listening timeout,No response,does not work,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",welcome to syphi quidz you can ask me about some of the most famous science fiction books or authors or you can ask me to start a quiz what would you like to do,Start quiz,understood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",apan i will ask you ten questions about science fiction books question number one who wrote the science fiction book titled heliconia spring,Brian Aldiss,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",lek the author of heliconia spring is bryant aldus your current score is zero out of one question number two who wrote the science fiction book titled the lathe of heaven,Ursula Le Guin,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",ah man the author of the lathe of heaven is ursula k leguyn your current score is zero out of two question number three who wrote the science fiction book titled the einstein intersection,Samuel R. Delany,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",man the author of the einstein intersection is samuel ar delaney your current score is zero out of three question number four who wrote the science fiction book titled mirror dance,Lois McMaster Bujold,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",of the author of mirror dance is lois mc master bugo your current score is zero out of four question number five who wrote the science fiction book titled among others,Jo Walton,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",the author o among others is joe walton your current score is zero out of five question number six who wrote the science fiction book titled secret,Kenji Miyazawa,understood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",question number six who wrote the science fiction book titled seper,Karin Boye,understood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",jon the author of seeker is jack mc devot your current score is zero out of six question number seven who wrote the science fiction book titled parable of the talents,Octavia Butler,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",gites the author of parable of the talents is octavia e butler your current score is zero out of seven question number eight who wrote the science fiction book titled the islanders,Christopher Priest,understood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",cabon the author of the islanders is christopher prist your current score is one out of eight question number nine who wrote the science fiction book titled lord of light,Roger Zelazny,misunderstood,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",och the author of lord of lightas rogers alasme your current score is one out of nine question number ten who wrote the science fiction book titled secret,Kenji Miyazawa,understood,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",handing off to blindfold chess by lena welcome back previous game loaded,Game on.,stopped working ,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",level one is the easiest in level twenty is the hardest what level do you want to play,Level ten.,stopped working ,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",level one is the easiest an level twenty is the hardest what level do you want to play,Level five.,stopped working ,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",level one is the easiest in level twenty is the hardest what level do you want to play,Level three.,stopped working ,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",level one is the easiest in level twenty is the hardest what level do you want to play,Level one.,stopped working ,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",listening timeout,No response,,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",l say five songs from the eighties name the band and try to get as many light as you can just say the answer let's begin burning down the house,Talking Heads,understood,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",answer is correct your score is wone our lips are sealed,The Go-Go's,misunderstood,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",that answer is wrong the correct answer is the go gos your score is one i want to know what love is,Foreigner,understood,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",that answer is correct youre spollers too white wedding only,Billy Idol,understood,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",that answer is correct your score is three take my breath away,Berlin,understood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",welcome to speak op you can choose your category do you want to play european countries or zodiacs,european countries,understood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",ok i want you to tell me all twenty eight european countries like my answer is france o,"france, germany, italy...",understood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",france is correct you already got one correct zodia twenty seven are missing tell me another one,Gemini,does not work,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again,Leo,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand hiu les try againo,Aries,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try againo,Taurus,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again oh,Cancer,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again oh,Virgo,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again o,Libra,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again o,Scorpio,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again oh,Sagittarius,misunderstood,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",sorry i did not understand you please try again oh,Capricorn,misunderstood,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",welcome back what would you like to know,Any updates?,,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend oh,Updates later.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that aske me a question again my friend what is the wiather in climpson sorry i didn't catch that aske me a question again my friendo,Weather Later.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,"Ask Again.

A: Anything else?",does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry anything i didn't catch that ask me a question again my friend,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend oh,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friendo,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that askd me a question again my friend o,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend oh,Ask Again.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Sure thing.,does not work,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude.",sorry i didn't catch that ask me a question again my friend o,Ask Again.,does not work,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",the welcome  deriing sit welcome back your level is won let's go which word is missing from every now and then i get a litte it,little,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",the word i heard was little that's not correct the line goes every now and then i get a litty lon first strike only six strikes remaining which word is missing from and i think to myse what,lonely,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",the word i heard was lonely this is not the missing word the correct line was anting do ma swhat a no that's the second strike only five more strikes to go you have scored zero points what is the word that is missing in,do,misunderstood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",what i've heard is two this is not the right word here is the correct line that's the third stripe only four more strikes until the round is over which word is missing froma,four,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",i heard you say four this is not the missing word the line was that's the fourth strike only three more strikes to go what is the word that is missing in o,no,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",i heard no this is not the right word the line was that's the fifth strike only two more strikes to go fill the blank en,empty,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",what i've heard is empty this is not the right word the line was that's the sixth strike only one strike remaining your total scoreis zero points what is the word that is missing in,between,understood,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",the word i heard was between this is not the right word the line goes o ha that's strike number seven game over you hape zero points you were twelve thousand four hundred forty points from setting a high score say play again or quit game,quit game,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,welcome to the movie corts trivio game are you ready to begin the game,Yes.,,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,o k here is your first movie qlok then it don't matter i'll be all around in the dark i'll be everywhere wherever you can look wherever there's a fight so hungry people can eat i'll be there,Cool.,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,i am sorry i do not understand what you just said if you are saying the title of a movie try beginning your response with the phrase the answer iso,The answer is...,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,i am sorry i do not understand what you just said if you are saying the title of a movie try beginning your response with the phrase the answer is what famous movie contained the following line then it don't matter i'll be all around in the dark i'll be everywhere wherever you can look wherever there's a fight so hungry people can eat i'll be there,The answer is...,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,i am sorry i do not understand what you just said if you are saying the title of a movie try beginning your response with the phrase the answer is what famous movie contained the following line then it don't matter i'll be all around in the dark i'll be everywhere wherever you can look wherever there's a fight so hungry people can eat i'll be there,The answer is...,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,i am sorry i do not understand what you just said if you are saying the title of a movie try beginning your response with the phrase the answer is what famous movie contained the following line then it don't matter i'll be all around in the dark i'll be everywhere wherever you can look wherever there's a fight so hungry people can eat i'll be there,The answer is...,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,welcome to the movie quorts tribul game are you ready to begin the game,Yes.,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,k here is your first movie quot i'm the king of the wor,Thanks.,understood,
B01LYRDYT4,Movie Quotes,Alexa open movie quotes,i am sorry i do not understand what you just said if you are saying the title of a movie try beginning your response with the phrase the answer is,The answer is...,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",welcome to the dice game a game played with six virtual dice once we start the game just say rules and i'll tell them to you the object of this game is to be the first to reach exactly ten thousand points let's begin how many players will be playing this game please say in number from two to ten,Two,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",player one is rolling six dice you rolled five three six two two four you rolled fifty points and have five unscored dice your turn score is fifty your options are roll score players options rules and stuff,Roll,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",that is not a valid option please say one of the valid optionso,Score,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",your transcore is zero your total score is zero,Players,understood,it does not give users options to use or how to interact with the skill
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",there are three players you are player number one,Options,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",your options are score players options rules and stop,Stop,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",options rules and stuff,Rules,understood,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",te dice game rules are the object of this game is to be the first player to score exactly ten thousand points say the roll command to roll the dice your roll is scored as follows each one is worth one hundred points three ones are worth one thousand points four ones are worth two thousand points five are worth four thousand if you roll six ones in a single roll you automatically win the game each five is worth fifty points except for ones any value rolled in multiples of three or more are scored as follows for three of a kind multiply the value times one hundred four of a kind is the value times two hundred five of a kind is the value times four hundred and six of a kind is multiplied by eight hundred for example rolling four threes would give you six hundred points if none of your dice score points your turn is over if points are scored you can elect to end your turn and collect the points you've scored or roll any unscored dice again once again if no points are scored your turn is over and any points you've scored in that turn are lost,Roll,understood,
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game.",welcome to christmas mol be guests again say start to play,Let's play!,understood,
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game.",here is the description character ancounters ghost of his late business partner what christmas move is this,A Christmas Carol,understood,just one interaction
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game.",a christmas carol is a carol on the theme of christmas traditionally sung at christmas itself or during the surrounding christmas holiday season,Okay.,stopped working ,
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game.","tag info,loop time: 3","tag info: skill problem, skill stop",,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",welcome to high low guessing game you have played zero times would you like to play,Yes,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",brav try saying a number to strike the game,50,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",sorry i didn't get there try saying a number o,25,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",twenty five is correct would you like to play a new gameo,Yes,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",try saying a number to start the game,50,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",i didn't get that try saying a numbero,25,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",sorry i didn't get thare try saying the numbero,35,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",i didn't get that try saying the number o,45,understood,
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game",i didn't get that try saying the number o,47,understood,
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game",welcome to movie trivia fun game several random questions from random movies enjoy and have fun check our other games for even more fun thank you one to four players can play how many are playing,1,understood,
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game",let's start answer quickly until you get three wrong to undo an answer say undue who directed the two thousand nine science fiction epidavito is the answer one martin scorcesi two james cameron three michael bay or four ta's lernan,Three,understood,
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game",you said three michael bay very close the correct answer was james cameron the navi language was created entirely from scratch by linguist doctor paula frame james cameron hired him to construct a language that would be easy for actors to pronounce but would not resemble any human language framer created about one thousand words only two long two answers left in yorout next question he played the lead female role in don doro is the answer one cate blanchett two maggie gillan hall three rosamond pike or four amy adams,Two,understood,
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game",you said two maggie gillenhall no the correct answer was rosamond pipe the bar restaurant in the movie is now a real restaurant exactly where it was filmed in downtown cape gerardo meser only one wrong one answer left in your oy next question which former doctor who actress played the part of nebula and avengers infinity war is the answer one jana coleman two billy piper three karon gillan or four frina aduman,Three,understood,
