number,skill_name,invoke_name,Alexa_Answer,User_Response
11,"Alexa,play finish the phrase","Alexa,play finish the phrase",FOR TO DAY EARLIER YOU ANSWERED ONE OUT OF FIVE QUESTIONS CORRECTLY FOR A SCORE OF MINUS TEN POINTS WOULD YOU LIKE TO PLAY AGAIN FOR FUN,NO
11,"Alexa,play finish the phrase","Alexa,play finish the phrase",BACK TO MORROW TO CONTINUE YOUR DAILY STREET TO UNLOCK SPECIAL QUESTION PACKS GOOD BYE,GOODBYE
13,"Alexa,play finish the phrase","Alexa,play finish the phrase",EMAN  O,NO
13,"Alexa,play finish the phrase","Alexa,play finish the phrase",S FOR TO DAY EARLIER YOU ANSWERED ONE OUT OF FIVE QUESTIONS CORRECTLY FOR A SCORE OF MINUS TEN POINTS WOULD YOU LIKE TO PLAY AGAIN FOR FUN O,NO
13,"Alexa,play finish the phrase","Alexa,play finish the phrase",COME BACK TO MORROW TO CONTINUE YOUR DAILY STREET TO UNLOCK SPECIAL QUESTION PATS GOOD BYE,GOODBYE
14,"Alexa,play finish the phrase","Alexa,play finish the phrase",OO,WHAT
14,"Alexa,play finish the phrase","Alexa,play finish the phrase",QUESTIONS FOR TO DAY EARLIER YOU ANSWERED ONE OUT OF FIVE QUESTIONS CORRECTLY FOR A SCORE OF MINUS TEN POINTS WOULD YOU LIKE TO PLAY AGAIN FOR FUNO,NO
14,"Alexa,play finish the phrase","Alexa,play finish the phrase",CONTINUE YOUR DAILY STREET FOR BONNES QUESTIONS GOOD BYE,GOODBYE
0,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO BET,ONE
0,Alexa open Guess The price,Alexa open Guess The price,TELL US YOUR NAME,N/A
0,Alexa open Guess The price,Alexa open Guess The price,NTYU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
0,Alexa open Guess The price,Alexa open Guess The price,MINTO CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
0,Alexa open Guess The price,Alexa open Guess The price,DINT YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
0,Alexa open Guess The price,Alexa open Guess The price,GET YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
0,Alexa open Guess The price,Alexa open Guess The price,GIT YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
0,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
0,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
0,Alexa open Guess The price,Alexa open Guess The price,YO CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
1,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO BET O,ONE
1,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,N/A
1,Alexa open Guess The price,Alexa open Guess The price,INTER CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,INTER
1,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME ENTER YOUR PRODUCT AS D C COMICS PEZ DISPENSERS TWELVE PACK PEZ CANDY IS A FAVORITE AMONG CHILDREN BECAUSE OF THE COLORFUL DISPENSERS THIS TWELFTH PACK OF DISPENSERS INCLUDES D C COMIC CHARACTERS INCLUDING BAT MAN FLASH GREEN LANTERN WONDER WOMAN AND SUPERMAN IT COMES WITH TWO CANDY REFILL PACKS PER DISPENSER GO AHEAD GES THE PRICE,N/A
1,Alexa open Guess The price,Alexa open Guess The price,PRICE HE'S TELL US A PRICE IN DOLLARS WITHOUT SENSE O,$15
1,Alexa open Guess The price,Alexa open Guess The price,THE ACTUAL PRICE WAS TWENTY DOLLARS YOUR SCORE FOR THAT ANSWER IS FIVE HUNDRED POINTS YOUR NEXT PRODUCT IS GLADE AIR FRESHENER ONE CLEAN LINEN SCENTED AIR FRESHENER WITH ADJUSTABLE FRAGRANCE LEVEL FROM GLADE YES THE PRICE O,$3
1,Alexa open Guess The price,Alexa open Guess The price,THE ACTUAL PRICE WAS ONE DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS AMAZON ECHO DOT A HANDS FREE VOICE CONTROLLED VOICE THAT USES THE ELECA VOICE ASSISTANT TO PLAY MUSIC CONTROL SMART HOME DEVICES MAKES CALLS READ THE NEWS SET TIMERS CHECK THE WEATHER AND MUCH MORE YES THE PRICE IF YOU DARE,$50
1,Alexa open Guess The price,Alexa open Guess The price,FINAL SCORE WAS ONE THOUSAND FIVE HUNDRED,N/A
1,Alexa open Guess The price,Alexa open Guess The price,"tag info,loop time: 8","tag info: skill problem, skill stop"
2,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO BET,ONE
2,Alexa open Guess The price,Alexa open Guess The price,TELL US YOUR NAME,N/A
2,Alexa open Guess The price,Alexa open Guess The price,GET YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,YO CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
2,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
2,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
3,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLYING TO BEY O,ONE
3,Alexa open Guess The price,Alexa open Guess The price,TELL US YOUR NAME,N/A
3,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAINO,N/A
3,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
3,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN OH,N/A
3,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAINO,N/A
3,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
3,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
3,Alexa open Guess The price,Alexa open Guess The price,DIRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
3,Alexa open Guess The price,Alexa open Guess The price,COLRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,ONE
4,Alexa open Guess The price,Alexa open Guess The price,LAS RE MAN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,DIRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
4,Alexa open Guess The price,Alexa open Guess The price,DIRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
4,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
4,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,MY NAME IS B
5,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,N/A
5,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,N/A
5,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
5,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,MY NAME IS B
5,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME BE YOUR PRODUCT IS SIX PACK OF HALF LEADER SMART WATER PACK OF SIX HALF LEADER VAPOR DISTILLD BOTTLED WATER FROM SMART WATER GESS THE PRICE,N/A
5,Alexa open Guess The price,Alexa open Guess The price,PRICE PLEASE TELL US A PRICE OF DOLLARS WITHOUT SENSE,N/A
5,Alexa open Guess The price,Alexa open Guess The price,YOUR PRICE PLEASE TELL US A PRICE IN DOLLARS WITHOUT SETS O,N/A
5,Alexa open Guess The price,Alexa open Guess The price,PRICE PLEASE TELL US A PRICE IN DOLLARS WITHOUT CENSEOH,N/A
5,Alexa open Guess The price,Alexa open Guess The price,OR PRICE HE'S TELL US A PRICE IN DOLLARS WITHOUT SENSE,N/A
5,Alexa open Guess The price,Alexa open Guess The price,PRICE HE'S TELL US A PRICE IN DOLLARS WITHOUT SENSE,10
6,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,N/A
6,Alexa open Guess The price,Alexa open Guess The price,"tag info,loop time: 1","tag info: skill problem, skill stop"
7,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,N/A
7,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR MANE OH,N/A
7,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
7,Alexa open Guess The price,Alexa open Guess The price,RECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
7,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
7,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
7,Alexa open Guess The price,Alexa open Guess The price,YO CORRECTLY PLEASE TELL US YOUR NAME AGAINO,N/A
7,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
7,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
8,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLYING TO DEY,N/A
8,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,N/A
8,Alexa open Guess The price,Alexa open Guess The price,YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN,YOU
8,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME YOURE YOUR PRODUCT IS AMAZON ECHO DOT A HANDS FREE VOICE CONTROLLED VOICE THAT USES THE ELECI VOICE ASSISTANT TO PLAY MUSIC CONTROL SMART HOME DEVICES MAKES CALLS READ THE NEWS SET TIMERS CHECK THE WEATHER AND MUCH MORE GES THE PRICE IF YOU DARE,AMAZON ECHO DOT
8,Alexa open Guess The price,Alexa open Guess The price,THE ACTUAL PRICE WAS FIFTY DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS OF WOMEN'S CLASSIC SHORT TWO WINTER BOOT THESE SHEEPSKIN AND SWAYED BOOTS HAVE RUBBER SOLES ARE PRE TREATED TO REPEL MOISTURE AND STAINS AND ARE FULLY LINED WITH FUR THEY ALSO CARRY THE FAMOUS UG BRAND NAME YES THE PRICE,WOMEN'S CLASSIC SHORT TWO WINTER BOOT
8,Alexa open Guess The price,Alexa open Guess The price,HE'S TELL US A PRICE IN DOLLARS WITHOUT SENSE O,N/A
8,Alexa open Guess The price,Alexa open Guess The price,PRICE PLEASE TELL US A PRICE IN DOLLARS WITHOUT SENSE O,N/A
8,Alexa open Guess The price,Alexa open Guess The price,PRICE PLEASE TELL US A PRICE OF DOLLARS WITHOUT SENSE,N/A
8,Alexa open Guess The price,Alexa open Guess The price,PRICE PLE'S TELL US A PRICE IN DOLLARS WITHOUT SENSE,N/A
8,Alexa open Guess The price,Alexa open Guess The price,PRICE PLEASE TELL US A PRICE IN DOLLARS WITHOUT SENSEO,N/A
9,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,N/A
9,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,N/A
9,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
9,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
9,Alexa open Guess The price,Alexa open Guess The price,GET YOU CORRECTLY PLEASE TELL US YOUR NAME AGAIN O,N/A
9,Alexa open Guess The price,Alexa open Guess The price,RECTLY PLEASE TELL US YOUR NAME AGAIN,N/A
9,Alexa open Guess The price,Alexa open Guess The price,CORRECTLY PLEASE TELL US YOUR NAME AGAIN,CORRECTLY PLEASE TELL US YOUR NAME AGAIN
9,Alexa open Guess The price,Alexa open Guess The price,LY PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
9,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
9,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,N/A
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,N/A
10,Alexa open Guess The price,Alexa open Guess The price,SOR CORRECTLY PLEASE TELL US YOUR NAME AGAIN OH,"SORRY, PLEASE TELL US YOUR NAME AGAIN"
10,Alexa open Guess The price,Alexa open Guess The price,ECTLY PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN,"I am sorry, I cannot answer the question as it violates OpenAI's use case policy."
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAIN O,PLEASE TELL US YOUR NAME AGAIN
10,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME AGAINO,PLEASE TELL US YOUR NAME AGAIN
11,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,1
11,Alexa open Guess The price,Alexa open Guess The price,TELL US YOUR NAME,My name is [Name].
11,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME NAME YOUR PRODUCT AS AMAZON ECHO DOT A HANDS FREE VOICE CONTROLLED VOICE THAT USES THE ELECIVE VOICESYSTEM TO PLAY MUSIC CONTROL SMART HOME DEVICES MAKES CALLS READ THE NEWS SET TIMERS CHECK THE WEATHER AND MUCH MORE GUES THE PRICE,$49.99
11,Alexa open Guess The price,Alexa open Guess The price,NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS FIFTY DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS FIT BIT CHARGE TWO H R A WRIST BAND BORN HEALTH TRACKER AND HEART BREAK MONITOR FIT BIT CHARGE TWO H R HELPS YOU MAXIMIZE YOUR WORK OUT BETTER TRACK CALORY BURN GET A SNAPSHOT OF YOUR CARDIO FITNESS AND TRACK YOUR SLEEP YES THE PRICE IF YOU DARE,A: $129.99
11,Alexa open Guess The price,Alexa open Guess The price,NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS ONE HUNDRED FORTY NINE DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS MONUT FOUR PERSON LIMESTONE MODEL TENT SPACIOUS ENOUGH TO SLEEP THE WHOLE FAMILY COMFORTABLY THE WATERPROOF FLY AND FLOOR KEEP THE RAIN AND WATER OUT AND THE ZONE CONSTRUCTION CREATES A ROOMIER SLEEPING AREA GO AHEAD YETS THE PRICE,$199.99
11,Alexa open Guess The price,Alexa open Guess The price,FINAL SCORE WAS ZERO,A: OK.
12,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLAYING TO DAY,A: 1
12,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,My name is [Name].
12,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME NAME YOUR PRODUCT IS MORE AT FOUR PERSON LIMESTONE MODEL TENT SPACIOUS ENOUGH TO SLEEP THE WHOLE FAMILY COMFORTABLY THE WATERPROOF FLY AND FLOOR KEEP THE RAIN AND WATER OUT AND THE ZONE CONSTRUCTION CREATES A ROOMIER SLEEPING AREA GO AHEAD YES THE PRICE,A: $199.99
12,Alexa open Guess The price,Alexa open Guess The price,THOUSAND NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS THREE HUNDRED DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS FIT BIT CHARGE TWO H R A WRIST BAND WORN HEALTH TRACKER AND HEART RATE MONITOR FIT BIT CHARGE TWO H R HELPS YOU MAXIMIZE OR WORKOUT BETTER TRACK CALORY BURN GET A SNAPSHOT OF YOUR CARDIO FITNESS AND TRACK YOUR SLEEP GO AHEAD GETS THE PRICE,$129.99
12,Alexa open Guess The price,Alexa open Guess The price,NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS ONE HUNDRED FORTY NINE DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS FIT BIT CHARGE TWO H I A RIST BAND WARN HEALTH TRACKER AND HEART RATE MONITOR FIT BIT CHARGE TWO H R HELPS YOU MAXIMIZ YOR WORKOUT BETTER TRACK CALORY BURN GET A SNAPSHOT OF YOUR CARTIO FITNESS AND TRACK YOUR SLEEP GO AHEAD YES THE PRICE,$129.99
12,Alexa open Guess The price,Alexa open Guess The price,FINAL SCORE AS ZERO,OK.
13,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRICE HOW MANY PERSONS ARE PLYING TO DAYO,A: 1
13,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,My name is [Name].
13,Alexa open Guess The price,Alexa open Guess The price,LET'S START THE GAME NAME YOUR PRODUCT IS MARMOT FOUR PERSON LIMESTONE MODEL TENT SPACIOUS ENOUGH TO SLEEP THE WHOLE FAMILY COMFORTABLY THE WATERPROOF FLY IND FLOOR KEEP THE RAIN AND WATER OUT AND THE ZONE CONSTRUCTION CREATES A ROOMIER SLEEPING AREA YES THE PRICE IF YOU DARE,$199.99
13,Alexa open Guess The price,Alexa open Guess The price,USAND NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS THREE HUNDRED DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS OF WOMEN'S CLASSIC SHORT TOT WINTER BOOT THESE SHEEPSKIN AND SWAYED BOOTS HAVE RUBBER SOLES AE PRETREATED TO REPEL MOISTURE AND STAINS AND ARE FULLY LINED WITH FUR THEY ALSO CARRY THE FAMOUS UG BRAM NAME GO AHEAD GES THE PRICE,$149.99
13,Alexa open Guess The price,Alexa open Guess The price,AN NINE HUNDRED NINETY NINE THE ACTUAL PRICE WAS ONE HUNDRED SIXTY DOLLARS YOUR SCORE FOR THAT ANSWER IS ZERO POINTS YOUR NEXT PRODUCT IS D C COMETS PEZ DISPENSERS TWELVE PACKS PEZ CANDY IS A FAVORITE AMONG CHILDREN BECAUSE OF THE COLORFUL DISPENSERS THIS TWELVE PACK OF DISPENSERS INCLUDES D C COMIC CHARACTERS INCLUDING THAT MAN FLASH GREEN LANTERN WONDER WOMAN AND SUPERMAN IT COMES WITH TWO CANDY REFAIL PACKS PER DISPENSER YES THE PRICE,$9.99
13,Alexa open Guess The price,Alexa open Guess The price,YOUR FINAL SCORE WAS ZERO,OK.
14,Alexa open Guess The price,Alexa open Guess The price,WELCOME TO GUESS THE PRIZE HOW MANY PERSONS ARE PLAYING TO DAY,A: 1
14,Alexa open Guess The price,Alexa open Guess The price,PLEASE TELL US YOUR NAME,My name is [Name].
